Row #,Species,Count,Location,S/P,Date,LocID,SubID
322,Ruby-crowned Kinglet,1,Hickey Creek Wildlife & Environmental Area,US-FL,08 Feb 2018,L1349962,S42590876
323,Nanday Parakeet,5,Manor Park,US-FL,05 Feb 2018,L6808817,S42518260
324,Purple Martin,10,Celery Fields,US-FL,05 Feb 2018,L234146,S42522301
325,Brown Thrasher,3,Oscar Scherer SP,US-FL,05 Feb 2018,L127350,S42521196
326,Lark Sparrow,1,Oscar Scherer SP,US-FL,05 Feb 2018,L127350,S42521196
327,Blue Grosbeak,4,Oscar Scherer SP,US-FL,05 Feb 2018,L127350,S42521196
328,Red-headed Woodpecker,3,Caloosahatchee Creeks Preserve--East,US-FL,01 Feb 2018,L674344,S42407497
329,White-winged Scoter,1,Lynn Hall Memorial Park & Pier,US-FL,30 Jan 2018,L1331461,S42372458
330,Horned Grebe,3,"3401 Tropical Point Drive, Saint James City, Florida, US (26.547, -82.081)",US-FL,29 Jan 2018,L6795889,S42344272
331,Great Horned Owl,1,Pine Island,US-FL,29 Jan 2018,L6796465,S42347474
332,Northern Parula,2,"13883-13927 Waterfront Drive, Bokeelia, Florida, US (26.661, -82.153)",US-FL,29 Jan 2018,L6795142,S42340315
333,Snowy Plover,1,San Carlos Bay/Bunche Beach Preserve,US-FL,28 Jan 2018,L301036,S42312456
334,Red Knot,43,San Carlos Bay/Bunche Beach Preserve,US-FL,28 Jan 2018,L301036,S42312456
335,Sedge Wren,1,Dinner Island Ranch WMA,US-FL,26 Jan 2018,L840220,S42249347
336,Muscovy Duck,13,"4335-4345 Tufts Avenue, Fort Myers, Florida, US (26.599, -81.879)",US-FL,21 Jan 2018,L6756743,S42121430
337,Ruby-throated Hummingbird,1,"Pearl Feeders, Alva (Whites' Feeders)",US-FL,19 Jan 2018,L6724846,S42067465
338,Red-cockaded Woodpecker,1,Babcock-Webb WMA,US-FL,19 Jan 2018,L127396,S42065694
339,Giant Wood-Rail,1,Bailey Homestead Wetlands Preserve,US-FL,18 Jan 2018,L6595361,S42045816
340,Lesser Black-backed Gull,1,Bowmans Beach Regional Park,US-FL,18 Jan 2018,L476488,S42042988
341,White-winged Dove,1,"Pearl Feeders, Alva (Whites' Feeders)",US-FL,15 Jan 2018,L6724846,S41948244
342,Indigo Bunting,1,"Pearl Feeders, Alva (Whites' Feeders)",US-FL,15 Jan 2018,L6724846,S41948244
343,Painted Bunting,4,"Pearl Feeders, Alva (Whites' Feeders)",US-FL,15 Jan 2018,L6724846,S41948244
344,American Avocet,10,Myakka River SP--Birdwalk,US-FL,15 Jan 2018,L882829,S41935245
345,Long-billed Dowitcher,35,"8543-9143 Palmer Boulevard, Sarasota, Florida, US (27.314, -82.398)",US-FL,15 Jan 2018,L6722017,S41931184
346,Sora,1,"1032-1570 Raymond Road, Sarasota, Florida, US (27.321, -82.435)",US-FL,15 Jan 2018,L6721858,S41930304
347,Fulvous Whistling-Duck,7,Stormwater Treatment Area 5/6,US-FL,13 Jan 2018,L207305,S41871319
348,Tropical Kingbird,1,Stormwater Treatment Area 5/6,US-FL,13 Jan 2018,L207305,S41871319
