Row #,Species,Count,Location,S/P,Date,LocID,SubID
279,White-breasted Nuthatch,4,Hartford Reservoir No. 6,US-CT,07 May 2019,L607644,S55964843
280,Brown-headed Nuthatch,1,Babcock-Webb WMA,US-FL,29 Jan 2019,L127396,S52174443
281,Brown Creeper,1,White Memorial Foundation--Little Pond,US-CT,05 Jun 2019,L598873,S57102352
282,Blue-gray Gnatcatcher,3,Estero Bay Preserve SP--Winkler Point,US-FL,01 Jan 2019,L2589166,S51174840
283,House Wren,1,Celery Fields,US-FL,10 Jan 2019,L234146,S51520729
284,Winter Wren,3,Saddleback Mountain,US-ME,30 May 2019,L608589,S56897290
285,Sedge Wren,1,"Saint Johns National Wildlife Refuge, Mims US-FL (28.5511,-80.8943)",US-FL,24 Jan 2019,L8488413,S52008614
286,Marsh Wren,3,Shiloh Marsh,US-FL,25 Jan 2019,L8491061,S52039513
287,Carolina Wren,1,Six Mile Cypress Slough Preserve,US-FL,03 Jan 2019,L424819,S51273252
288,Bewick's Wren,1,Salineño Wildlife Preserve (LTC 080),US-TX,08 Oct 2019,L129075,S60453102
289,European Starling,5,"1305 Northwest 25th Terrace, Cape Coral, Florida, US (26.7, -82.002)",US-FL,08 Jan 2019,L8393430,S51468350
290,Common Myna,2,"720 Northwest 37th Avenue, Miami, Florida, US (25.78, -80.256)",US-FL,16 Feb 2019,L8628181,S52779825
291,Gray Catbird,9,Estero Bay Preserve SP--Winkler Point,US-FL,01 Jan 2019,L2589166,S51174840
292,Curve-billed Thrasher,1,Bentsen-Rio Grande Val. SP WBC (Mission) (LTC 069),US-TX,06 Oct 2019,L128890,S60397298
293,Brown Thrasher,1,"The Plantation (Restricted Access), Fort Myers, FL",US-FL,06 Feb 2019,L6319667,S52430005
294,Long-billed Thrasher,2,Estero Llano Grande SP WBC (LTC 054),US-TX,07 Oct 2019,L259855,S60426434
295,Bahama Mockingbird,1,Lantana Nature Preserve,US-FL,25 Apr 2019,L1293707,S55400945
296,Northern Mockingbird,1,Estero Bay Preserve SP--Winkler Point,US-FL,01 Jan 2019,L2589166,S51174840
297,Eastern Bluebird,1,"Fort Myers, Florida, US (26.554, -81.889)",US-FL,02 Jan 2019,L8352777,S51229840
298,Veery,5,Frances Slocum SP,US-PA,25 May 2019,L443823,S56716993
299,Gray-cheeked Thrush,1,Point Ybel Lighthouse Beach Park,US-FL,28 Apr 2019,L127398,S55508094
300,Bicknell's Thrush,1,Saddleback Mountain,US-ME,30 May 2019,L608589,S56897290
301,Swainson's Thrush,1,Point Ybel Lighthouse Beach Park,US-FL,18 Apr 2019,L127398,S55086818
302,Hermit Thrush,1,Caloosahatchee Creeks Preserve--East,US-FL,12 Feb 2019,L674344,S52621165
303,Wood Thrush,1,Point Ybel Lighthouse Beach Park,US-FL,18 Apr 2019,L127398,S55086818
304,Clay-colored Thrush,9,Frontera Audubon Center (LTC 058),US-TX,06 Oct 2019,L209876,S60404778
305,American Robin,10,Shell Creek Preserve/Nellis Lane,US-FL,06 Jan 2019,L8381920,S51376513
306,Red-legged Thrush,1,Lantana Nature Preserve,US-FL,25 Apr 2019,L1293707,S55400945
