Row #,Species,Count,Location,S/P,Date,LocID,SubID
361,White-backed Vulture,22,Northern Serengeti National Park (Mara Region),TZ-13,25 Jul 2017,L6151339,S38474013
362,Rüppell's Griffon,16,"Serengeti National Park, Tanzania",TZ-22,24 Jul 2017,L6151126,S38472765
363,Brown Snake-Eagle,1,Tarangire NP,TZ-26,01 Aug 2017,L1044008,S38530008
364,Martial Eagle,1,Central Serengeti Near Thomson Nyumba,TZ-13,27 Jul 2017,L6153177,S38487031
365,Black Hawk-Eagle,1,Rio Indio,PA-8,12 Apr 2018,L1532334,S44506362
366,Ornate Hawk-Eagle,1,Altos del Maria--Elevación 900-1100 msnm,PA-8,14 Apr 2018,L3182851,S44573954
367,Long-crested Eagle,2,Tarangire NP,TZ-26,01 Aug 2017,L1044008,S38530008
368,Wahlberg's Eagle,1,Tarangire NP,TZ-26,01 Aug 2017,L1044008,S38530008
369,Tawny Eagle,1,Central Serengeti Near Thomson Nyumba,TZ-13,27 Jul 2017,L6153177,S38487031
370,Verreaux's Eagle,1,Tarangire NP,TZ-26,01 Aug 2017,L1044008,S38530008
371,Eastern Chanting-Goshawk,1,Ngorongoro Conservation Area--Olduvai Gorge,TZ-01,28 Jul 2017,L1044143,S38487839
372,Black-collared Hawk,3,"Fernando Lores, Loreto, PE (-4.374, -73.402)",PE-LOR,05 Mar 2019,L8820126,S53643355
373,Snail Kite,1,Wild Turkey Strand Preserve,US-FL,16 Oct 2017,L1903106,S39958717
374,Double-toothed Kite,1,Las Minas,PA-2,09 Apr 2018,L1532289,S44403522
375,Mississippi Kite,1,West of El Valle on road to Pacific lowlands,PA-2,11 Apr 2018,L7208602,S44476527
376,Plumbeous Kite,1,Rio Indio,PA-8,12 Apr 2018,L1532334,S44506559
377,Northern Harrier,1,Hammonasset Beach SP,US-CT,11 Sep 2017,L298379,S39127718
378,Shikra,1,Eastern Serengeti Thomson Enashiva Camp,TZ-01,23 Jul 2017,L6149970,S38468961
379,Sharp-shinned Hawk,3,Lighthouse Point Park,US-CT,11 Oct 2017,L109209,S39825664
380,Cooper's Hawk,1,Westmoor Park,US-CT,14 Nov 2017,L198655,S40508164
381,Black Kite,1,Ngorongoro Conservation Area--Ngorongoro Crater,TZ-01,29 Jul 2017,L951508,S38489237
382,Bald Eagle,1,Friday Harbor -- Harbor area,US-WA,14 Jul 2014,L879916,S38696014
383,African Fish-Eagle,1,Tarangire NP,TZ-26,01 Aug 2017,L1044008,S38530008
384,Slate-colored Hawk,2,"Nauta, Loreto, PE (-4.659, -73.803)",PE-LOR,07 Mar 2019,L8820192,S53643601
385,Common Black Hawk,2,Río Tarcoles--Boat Tour,CR-P,10 May 2019,L1456779,S56102081
386,Savanna Hawk,2,"Unnamed Road, El Chirú, Provincia de Coclé, PA (8.388, -80.23)",PA-2,10 Apr 2018,L7203740,S44444964
387,Great Black Hawk,1,Deering Oaks Park,US-ME,01 Dec 2018,L1475992,S50338583
388,Barred Hawk,3,Altos del Maria--Elevación 900-1100 msnm,PA-8,14 Apr 2018,L3182851,S44573954
389,Roadside Hawk,2,Rio Indio,PA-8,12 Apr 2018,L1532334,S44506559
390,Harris's Hawk,1,Green Valley - Calle Lecho,US-AZ,19 Sep 2018,L4671259,S48634856
391,White-tailed Hawk,2,Old Port Isabel Rd,US-TX,10 Oct 2019,L389757,S60505375
392,Gray Hawk,1,St. David--Holy Trinity Monastery,US-AZ,14 Sep 2018,L348318,S48504654
393,Gray-lined Hawk,1,Cara Iguana,PA-2,09 Apr 2018,L2119256,S44413530
394,Red-shouldered Hawk,2,Corkscrew Swamp Sanctuary,US-FL,15 Aug 2017,L127407,S38656353
395,Broad-winged Hawk,1,Matheson Hammock Park,US-FL,25 Feb 2018,L127425,S43166649
396,Short-tailed Hawk,1,Fakahatchee Strand Preserve SP--Big Cypress Bend Boardwalk,US-FL,08 Jan 2018,L662393,S41743711
397,Swainson's Hawk,4,De Anza Trail--Tumacacori,US-AZ,18 Sep 2018,L505270,S48604545
398,Zone-tailed Hawk,1,Greaterville Road--between Hwy 83 and Box Canyon Rd,US-AZ,20 Sep 2018,L2898459,S48778396
399,Red-tailed Hawk,1,"500 Broad Street, Windsor, Connecticut, US (41.85, -72.779)",US-CT,09 Aug 2017,L6166936,S38559607
400,Barn Owl,1,"4411 Sunshine Boulevard, Saint James City, Florida, US (26.533, -82.099)",US-FL,17 Jan 2019,L8445866,S51770447
401,Whiskered Screech-Owl,1,Madera Canyon--Santa Rita Lodge,US-AZ,20 Sep 2018,L268114,S48641437
402,Tropical Screech-Owl,1,Canopy Lodge,PA-2,15 Apr 2018,L604642,S44584941
403,Western Screech-Owl,1,Pena Blanca Lake,US-AZ,19 Sep 2018,L129054,S48634899
404,Eastern Screech-Owl,1,Green Cay Wetlands & Nature Center,US-FL,05 Mar 2018,L246929,S43402852
405,Spectacled Owl,1,Cara Iguana,PA-2,09 Apr 2018,L2119256,S44413530
406,Great Horned Owl,1,Pine Island,US-FL,29 Jan 2018,L6796465,S42347474
407,Verreaux's Eagle-Owl,2,Tarangire NP,TZ-26,31 Jul 2017,L1044008,S38528783
408,Snowy Owl,1,Gresczyk Farms,US-CT,19 Nov 2017,L6487615,S40601919
409,Ferruginous Pygmy-Owl,2,"34, Puntarenas Province, CR (9.824, -84.597)",CR-P,09 May 2019,L9230991,S56053522
410,Burrowing Owl,3,Pelican Blvd. Baseball Fields,US-FL,07 Jan 2018,L886942,S41702365
411,Mottled Owl,1,Canopy Adventure,PA-2,13 Apr 2018,L1659574,S44527311
412,Black-and-white Owl,2,"Calle Parque Municipal, Tarcoles, Provincia de Puntarenas, CR (9.769, -84.628)",CR-P,09 May 2019,L9232981,S56066588
413,Barred Owl,1,"Sunny Slope, West Hartford, CT",US-CT,06 Aug 2017,L6156720,S38502689
414,Speckled Mousebird,1,Central Serengeti Near Thomson Nyumba,TZ-13,27 Jul 2017,L6153177,S38487031
415,Resplendent Quetzal,2,"Calle San Gerardo, San Gerardo de Dota, San José, CR (9.559, -83.803)",CR-SJ,15 May 2019,L9274050,S56322510
